Riding No.,Riding Name,Political Affiliation,Last Name,First Name,Middle Name
24041,Louis-Hébert,Liberal,Scherrer,Hélène
24042,Manicouagan,N.D.P.,Caplette,Normand
24042,Manicouagan,Bloc Québécois,Fournier,Ghislain,
24042,Manicouagan,Liberal,Labadie,Robert,
24042,Manicouagan,Progressive Conservative,Robert,Gaby-Gabriel,
24042,Manicouagan,Canadian Alliance,de Champlain,Laurette,
24043,Matapédia--Matane,Liberal,Bélanger,Marc,
24043,Matapédia--Matane,Progressive Conservative,Dumas,Germain,
24043,Matapédia--Matane,N.D.P.,Paquet-Gauthier,Karine,
24043,Matapédia--Matane,Bloc Québécois,Roy,Jean-Yves,
24044,Mercier,Liberal,Biron,Normand,
24044,Mercier,Canadian Alliance,Delsoin,J.,Marc-Antoine
24044,Mercier,Marijuana Party,Duquette,Eric,
